Date,Open,High,Low,Close,Volume
2019-03-06,3857.58,3907,3813.09,3861.84,24775.11883
2019-03-07,3861.84,3905.4,3840.4,3873.64,26455.257661
2019-03-08,3873.63,3932,3800,3864.89,34730.366592
2019-03-09,3864.88,3971.75,3854.75,3943.04,30979.747653
2019-03-10,3943.43,3943.43,3881.69,3916.82,23187.561412
2019-03-11,3915.99,3936.98,3830,3871.61,38066.885705
2019-03-12,3871.61,3905.2,3826.06,3882.73,26921.008622
2019-03-13,3882.69,3893.56,3840,3866,24461.008757
2019-03-14,3866,3920,3810.43,3877.12,27048.74853
2019-03-15,3877.12,3939.22,3872.2,3923.76,21740.061498
2019-03-16,3924.46,4056.98,3921.98,4005.98,28568.376124
2019-03-17,4005.98,4012,3950.01,3981.14,18814.255577
2019-03-18,3981.85,4037,3953.33,3987.81,22454.47801
2019-03-19,3987.83,4031,3970,4015.53,19893.741815
2019-03-20,4017.48,4050,3980.5,4043.04,23432.300255
2019-03-21,4043.04,4069.32,3880.01,3980.64,35997.682119
2019-03-22,3980.85,4008,3968.25,3986.93,20022.606318
2019-03-23,3987.89,4018.83,3978.01,4006.01,17302.604318
2019-03-24,4006.01,4006.02,3950,3992.18,17179.850648
2019-03-25,3991.35,3999.3,3888.71,3936.12,33192.890217
2019-03-26,3935.47,3958.98,3894,3948.55,29349.537627
2019-03-27,3948.77,4048,3936.15,4038.05,32364.555852
2019-03-28,4039.58,4039.7,4002,4027.81,20089.293875
2019-03-29,4028.22,4123.71,4024.03,4103.25,30084.217444
2019-03-30,4104.24,4140,4052,4106.97,19509.292601
2019-03-31,4106.99,4116.12,4082.57,4103.95,13525.087433
2019-04-01,4102.44,4158.7,4067,4144.56,25507.067641
2019-04-02,4144.54,4897.99,4140.54,4857.29,105383.639263
2019-04-03,4857.19,5275.01,4753.5,4932.6,109890.125743
2019-04-04,4932.59,5039.08,4777,4898.66,61054.254168
2019-04-05,4898.64,5028.22,4880.62,5004.95,39768.552806
2019-04-06,5004.96,5205,4928.59,5043.89,41770.842313
2019-04-07,5042.07,5234,5026,5170.27,37615.486804
2019-04-08,5170.27,5305,5039,5236.9,50178.430782
2019-04-09,5238.38,5238.4,5076.68,5150,34067.012311
2019-04-10,5150,5422,5135,5308.25,40073.620471
2019-04-11,5307.86,5332.67,4927,5017.37,54696.600686
2019-04-12,5017.37,5080.58,4861.22,5048.01,33276.678614
2019-04-13,5047,5099,5004,5045.22,17292.456802
2019-04-14,5047.45,5152.99,5000,5131.3,18281.607739
2019-04-15,5131.28,5167.38,4950,5024.95,29057.191581
2019-04-16,5024.95,5197.72,5003.94,5173.72,24242.229493
2019-04-17,5173.72,5230.4,5146.8,5202.82,23307.536134
2019-04-18,5202.41,5287,5198.8,5258.44,22619.239001
2019-04-19,5258.44,5320,5175,5258.68,24611.236323
2019-04-20,5258.68,5333.42,5230.1,5291.73,19168.908274
2019-04-21,5292.91,5314.35,5165,5256.14,25549.570939
2019-04-22,5257.41,5400,5208.35,5357.14,29563.852309
2019-04-23,5357.14,5600,5332.41,5493.31,41262.103917
2019-04-24,5490.91,5582.2,5333.35,5415,48224.152413
2019-04-25,5415,5491.84,5102,5219.9,49636.089948
2019-04-26,5220.47,5510,5161.62,5314.1,48912.294513
2019-04-27,5315,5342.5,5257.67,5295.69,15422.896935
2019-04-28,5295.69,5340,5259.48,5307.52,14371.433869
2019-04-29,5309.81,5332,5178.8,5238.14,19918.135079
2019-04-30,5238.14,5339.98,5192.15,5320.81,22238.06823
2019-05-01,5321.94,5402,5316.2,5383.2,17217.473216
2019-05-02,5383.2,5538,5370,5492.87,22795.787835
2019-05-03,5494.81,5844,5477.57,5772.69,46297.172849
2019-05-04,5770.62,5900,5587.45,5829.45,39682.408991
2019-05-05,5829.83,5839.9,5696,5775.62,23822.543775
2019-05-06,5773.18,5805,5619.14,5747.79,25256.596325
2019-05-07,5749.92,6028.41,5747.74,5846.34,39905.064422
2019-05-08,5846.34,6014.72,5772.2,5987.29,23074.05152
2019-05-09,5986.66,6224.55,5983.71,6209.18,27453.011436
2019-05-10,6209.95,6468.92,6172,6373.33,36623.61079
2019-05-11,6375.16,7343.99,6372.85,7076.22,74022.424393
2019-05-12,7076.24,7521.78,6750,6967.31,86948.975339
2019-05-13,6968.24,8100,6870,7790.71,85804.735333
2019-05-14,7795.62,8366,7599.56,7947.56,76583.722603
2019-05-15,7945.26,8249,7850,8169.87,37884.327211
2019-05-16,8169.08,8320,7705,7866.59,69630.513996
2019-05-17,7868.67,7925,6913,7355.26,88752.008159
2019-05-18,7355.28,7458,7156.61,7257.45,37054.944779
2019-05-19,7257.32,8275.09,7243.08,8148.48,65577.442058
2019-05-20,8147.94,8156.03,7553,7938.15,65859.208564
2019-05-21,7937.16,8042.32,7771,7904.87,52301.752247
2019-05-22,7904.48,8016,7465,7628.43,49136.994589
2019-05-23,7627.8,7940.98,7461,7851.51,49648.184701
2019-05-24,7849.95,8130,7766,7964.87,46664.785325
2019-05-25,7964.52,8091.8,7908.34,8025.41,28414.328817
2019-05-26,8023,8740,7833.42,8614.43,49652.144567
2019-05-27,8612.54,8908.32,8589,8756.32,51886.768793
2019-05-28,8752.52,8798.49,8510.63,8715.64,31470.551534
2019-05-29,8716.87,8750,8406.6,8645.68,33880.865922
2019-05-30,8646.5,9074.26,8005,8269.54,70379.998521
2019-05-31,8267.1,8594,8108.5,8555,44727.49162
2019-06-01,8555,8626,8442.36,8544.07,31868.234157
2019-06-02,8545.1,8814.78,8524,8725.98,27835.133265
2019-06-03,8726,8800.95,8080.8,8115.82,45692.965104
2019-06-04,8115.66,8115.66,7481.02,7687.03,74143.948941
2019-06-05,7687.04,7896.7,7572.78,7776.5,48679.656455
2019-06-06,7778.08,7868.13,7444.58,7786.7,36624.118747
2019-06-07,7787.57,8100,7737.49,7980.53,33942.225658
2019-06-08,7978.94,8044.65,7751,7893.62,22657.329634
2019-06-09,7895.28,7935,7506.66,7628.13,31568.465157
2019-06-10,7627.57,8020,7511,7982.75,36756.078468
2019-06-11,7981,8010,7692.23,7884.9,30334.999427
2019-06-12,7884.9,8200,7788.99,8127.64,41597.082622
2019-06-13,8127.64,8309.82,8010.03,8218.54,30467.764341
2019-06-14,8216.44,8684.41,8144.32,8650,39835.246255
2019-06-15,8650.88,8864.99,8567.63,8808.7,31791.636039
2019-06-16,8810.77,9333,8760,8953.33,63289.251219
2019-06-17,8953,9444,8950,9313.96,47895.485374
2019-06-18,9312.13,9336.36,8950,9081.55,51554.569401
2019-06-19,9081.97,9304,8960,9255.49,32147.706495
2019-06-20,9253.76,9590,9175.2,9517.12,34556.053982
2019-06-21,9518.06,10174.99,9518.06,10159.86,50484.415892
2019-06-22,10159.86,11160,9921.72,10729.5,104169.447976
2019-06-23,10729,11392.64,10555.18,10906.07,57445.323945
2019-06-24,10905.95,11143.63,10620.8,11056.59,43101.045285
2019-06-25,11056.59,11850,11026,11820.86,61276.686648
2019-06-26,11821.28,13970,11741,13093.8,155930.147386
2019-06-27,13098.38,13478.04,10525.1,11329.99,173894.820889
2019-06-28,11329.99,12480,10982.88,12400.63,95795.203964
2019-06-29,12407.06,12441.54,11475.02,11903.13,69642.074157
2019-06-30,11903.13,12180,10766.03,10854.1,84512.530443
2019-07-01,10854.1,11282.28,10030,10624.93,90962.268271
2019-07-02,10624.9,10938.75,9727,10842.85,109561.038728
2019-07-03,10844.98,11991.89,10841.04,11940,96815.90029
2019-07-04,11940,12000,11055,11145.67,66512.221892
2019-07-05,11145.67,11406.83,10796.44,10970.73,63534.350582
2019-07-06,10982.41,11665,10964.51,11256.49,51469.496331
2019-07-07,11256.45,11538,11094.37,11406.24,38884.795599
2019-07-08,11410,12338.03,11220,12238.6,52182.367215
2019-07-09,12238.6,12794.73,12068,12543.41,78442.130343
2019-07-10,12548.51,13147.08,11569,12108.37,109246.044997
2019-07-11,12108.11,12111.73,11000,11342.89,87506.461058
2019-07-12,11342.88,11885,11073,11757.22,56321.858281
2019-07-13,11757.22,11799.98,10830,11355.76,54245.594548
2019-07-14,11355.78,11452,10103,10174.18,72517.579236
2019-07-15,10174.18,11100,9860,10838.72,81922.426332
2019-07-16,10833.78,11028,9350.01,9439.59,97219.443413
2019-07-17,9430.17,9957,9060,9667.92,84942.672717
2019-07-18,9668.86,10788,9252,10627.16,80283.310252
2019-07-19,10628.64,10769.71,10121.84,10504.29,56546.932133
2019-07-20,10505.78,11068.99,10350,10740.23,47331.899848
2019-07-21,10740.27,10817.9,10288,10589.45,38834.287935
2019-07-22,10590.15,10683.16,10100,10340.31,40467.954839
2019-07-23,10343.08,10343.97,9822,9864.91,47624.37071
2019-07-24,9864.78,9937,9525,9763.28,43475.380377
2019-07-25,9763.4,10175,9720.03,9879.87,37873.354728
2019-07-26,9882.15,9889.98,9637,9824,27167.463217
2019-07-27,9824,10188.66,9333,9476.52,43809.778301
2019-07-28,9478.92,9594.99,9165,9541.54,29401.022937
2019-07-29,9541.54,9729,9395,9507.64,29021.937411
2019-07-30,9509.07,9714.28,9402,9574.21,32536.368834
2019-07-31,9575,10109.8,9555,10080.53,39515.35456
2019-08-01,10080.53,10467.86,9863.46,10374.99,41727.637028
2019-08-02,10375,10670,10281.35,10523.75,42990.444221
2019-08-03,10523.75,10904.77,10497.93,10816.86,33802.318824
2019-08-04,10816.86,11040,10552,10929.23,39924.745141
2019-08-05,10929.99,11937.52,10927.8,11828.8,65153.673713
2019-08-06,11830,12330.7,11226.7,11481.69,76705.389875
2019-08-07,11481.69,12141.17,11382.84,11975.03,69173.390353
2019-08-08,11975.04,12060,11521,11999.77,51207.257174
2019-08-09,11994.17,12045.68,11700,11879.99,39427.152588
2019-08-10,11879.98,11985,11270,11309.31,42633.087048
2019-08-11,11309.24,11600,11112.11,11549.97,26772.90691
2019-08-12,11539.08,11577.89,11235.32,11396.08,17568.227075
2019-08-13,11398.35,11456.16,10788.45,10892.71,33234.72968
2019-08-14,10893.36,10897.48,9928.1,10050.37,54451.847499
2019-08-15,10055.16,10460,9911,10293.93,38174.45112
2019-08-16,10296.77,10536.03,9750,10331.54,51758.142918
2019-08-17,10331.15,10465.14,10000,10216.02,29000.581201
2019-08-18,10216.05,10500,10080,10306.78,24085.395172
2019-08-19,10306.17,10930,10258.6,10915.54,37243.319217
2019-08-20,10914.73,10949.96,10560,10760.51,32298.921679
2019-08-21,10760.51,10804.13,9858,10142.57,47355.719282
2019-08-22,10140.82,10242,9762,10099.88,34059.642738
2019-08-23,10099.9,10445,10019.79,10389.55,27550.336173
2019-08-24,10388.16,10419.42,9890,10134.35,27692.456844
2019-08-25,10134.61,10333,9906.97,10142.69,26271.657398
2019-08-26,10142.69,10604,10137.93,10372.25,41687.511599
2019-08-27,10373.6,10391.08,10051.08,10185.05,28402.775383
2019-08-28,10185.69,10299,9601.01,9721,42110.555375
2019-08-29,9721,9724,9320,9498.44,35532.69491
2019-08-30,9499.01,9696,9350.41,9584.54,26834.318104
2019-08-31,9582.76,9684.51,9420.75,9587.47,17130.290074
2019-09-01,9588.74,9830,9520,9724.98,19545.404843
2019-09-02,9723.59,10450,9712.5,10340,44740.248093
2019-09-03,10340,10773,10272,10615.28,47998.376781
2019-09-04,10611.85,10799,10369.89,10567.02,43943.889026
2019-09-05,10565.92,10900,10450,10564.49,33970.960639
2019-09-06,10563.13,10905.87,10150,10298.73,58799.640959
2019-09-07,10298.71,10558,10288.57,10455.88,27637.877392
2019-09-08,10455.9,10592.5,10208,10381.18,23984.672018
2019-09-09,10381.24,10480,10068.5,10303.12,39835.727608
2019-09-10,10302.58,10384.99,9953,10098.15,28915.412225
2019-09-11,10098.19,10293,9880,10158.33,31953.824562
2019-09-12,10158.75,10448.81,10040,10415.01,34511.162755
2019-09-13,10415.01,10439,10153,10342.06,30280.339776
2019-09-14,10344.13,10419.99,10222.33,10335.02,23621.533519
2019-09-15,10332.81,10360,10252.15,10302.01,18047.654013
2019-09-16,10303.34,10355,10078,10251.31,28971.401657
2019-09-17,10249.68,10275,10128.01,10187.82,22914.324563
2019-09-18,10187.48,10258.02,10100,10156.99,24250.249303
2019-09-19,10156.41,10325,9653,10244.29,44826.282579
2019-09-20,10243.7,10281,10061.39,10168.59,25088.491069
2019-09-21,10167.92,10176.7,9900,9986.39,20544.175196
2019-09-22,9985.15,10089,9853.97,10028.87,22049.275256
2019-09-23,10028.05,10049.99,9615.77,9702.25,31937.232356
2019-09-24,9702.2,9794.99,7800,8493.14,94007.345203
2019-09-25,8497.55,8730,8215.64,8430.05,60783.892258
2019-09-26,8430.05,8465.99,7750,8063.73,67930.853749
2019-09-27,8063.49,8265,7852.15,8177.91,43882.924625
2019-09-28,8177.47,8315,8001.09,8198.81,34473.605165
2019-09-29,8199.38,8229.13,7890,8043.82,31544.211388
2019-09-30,8043.04,8337.26,7710,8289.34,55865.48726
2019-10-01,8289.97,8500,8173.05,8292.44,43472.418091
2019-10-02,8292.67,8373.91,8151.22,8359.94,26243.386644
2019-10-03,8360,8393,8060,8223.96,30488.284058
2019-10-04,8224.43,8232.41,8005,8137.13,26476.330404
2019-10-05,8137.09,8183.41,8012.98,8126.19,21907.615564
2019-10-06,8127.55,8153.87,7785,7854.25,34676.104049
2019-10-07,7855.3,8299.92,7762,8190.09,52202.072297
2019-10-08,8190.82,8325,8088.75,8168.39,35452.657423
2019-10-09,8170.79,8670,8115,8560.74,55038.704378
2019-10-10,8562.15,8644,8414.52,8558.03,39137.946167
2019-10-11,8557.82,8779.51,8212.38,8258.5,50405.284418
2019-10-12,8257.95,8400,8250,8300.09,21339.334098
2019-10-13,8301.98,8451.37,8160,8275.01,27840.739953
2019-10-14,8275.24,8388.85,8203,8348.2,29810.663253
2019-10-15,8346.86,8403,8090,8159.29,32773.062476
2019-10-16,8159.3,8181.16,7917,7991.74,34733.593966
2019-10-17,7995.02,8124.92,7929.03,8070.58,29656.949158
2019-10-18,8070.71,8115,7816.01,7947.01,31353.181416
2019-10-19,7946.89,8098.1,7866.92,7948.01,26627.889388
2019-10-20,7949.87,8297,7870,8223.35,34286.452654
2019-10-21,8223.35,8333,8142.03,8197.27,30448.679539
2019-10-22,8197.28,8297.99,8000,8020,34651.828663
2019-10-23,8020.06,8047.59,7300,7466.62,63897.457098
2019-10-24,7468.47,7503.68,7337.99,7412.41,32714.383265
2019-10-25,7412.41,8799,7361,8655.02,90748.218174
2019-10-26,8655.88,10370,8470.38,9230,162588.585413
2019-10-27,9230,9794.98,9074.34,9529.93,93833.541604
2019-10-28,9528.23,9902.1,9160,9205.14,80174.217323
2019-10-29,9204.45,9550,9072,9407.62,64158.462446
2019-10-30,9407.62,9409.84,9001.01,9154.72,55241.786434
2019-10-31,9154.02,9405,8913,9140.85,54376.024902
2019-11-01,9140.86,9279,9030,9231.61,43594.814115
2019-11-02,9231.4,9373.74,9186.21,9289.52,28923.060828
2019-11-03,9289.85,9362.57,9066.14,9194.71,27894.378279
2019-11-04,9196.46,9513.68,9115.84,9393.35,45894.456277
2019-11-05,9392.4,9454.95,9175.76,9308.66,45935.873665
2019-11-06,9307.73,9440.91,9250.01,9339.05,37336.170372
2019-11-07,9339.16,9375,9101,9216.2,39117.470853
2019-11-08,9214,9261,8696,8773.73,62107.289243
2019-11-09,8773.74,8880,8724.88,8809.41,29469.481405
2019-11-10,8809.18,9147.19,8750,9039.47,34422.029797
2019-11-11,9040.16,9072.32,8618.68,8733.27,44888.053545
2019-11-12,8733.36,8888,8567.6,8821.94,40366.629471
2019-11-13,8821.91,8844.99,8702,8777.12,26810.116918
2019-11-14,8777.54,8800,8582.6,8646.68,33468.468961
2019-11-15,8646.38,8790,8400,8471.73,46087.417751
2019-11-16,8471.62,8543,8400,8491.02,20902.299752
2019-11-17,8490.74,8635,8350.68,8502.4,27009.037082
