Date,BTC,ETH,XRP,XLM,LTC,ADA
2019-05-07,6028.41,182.76,0.30726,0.09966,78.75,0.06882
2019-05-08,6014.72,173.17,0.30275,0.09361,75.5,0.06545
2019-05-09,6224.55,173.88,0.30198,0.09338,75.9,0.06537
2019-05-10,6468.92,176.7,0.30198,0.09319,79.61,0.06529
2019-05-11,7343.99,205.23,0.3372,0.10649,95,0.07854
2019-05-12,7521.78,204.32,0.32992,0.10536,94.01,0.07707
2019-05-13,8100,206.87,0.329,0.1034,92.49,0.07646
2019-05-14,8366,219.81,0.4362,0.117,93.61,0.08479
2019-05-15,8249,250.27,0.467,0.14158,104.25,0.09535
2019-05-16,8320,279.76,0.479,0.16247,107.14,0.1008
2019-05-17,7925,268.74,0.42394,0.14059,97.48,0.0908
2019-05-18,7458,248,0.39598,0.14126,90.51,0.08507
2019-05-19,8275.09,264,0.42796,0.14529,96.81,0.088
2019-05-20,8156.03,259.49,0.41647,0.14268,94.58,0.0869
2019-05-21,8042.32,262,0.40738,0.13645,93.02,0.086
2019-05-22,8016,260.18,0.4111,0.13741,92.04,0.08541
2019-05-23,7940.98,247.34,0.38269,0.12605,89.53,0.08435
2019-05-24,8130,254.35,0.39375,0.12921,103.77,0.08315
2019-05-25,8091.8,257.33,0.393,0.12771,105.07,0.0822
2019-05-26,8740,269.4,0.41368,0.1348,114,0.08682
2019-05-27,8908.32,279.59,0.44645,0.14412,121.89,0.09384
2019-05-28,8798.49,275.95,0.4611,0.14168,118.22,0.09351
2019-05-29,8750,274.04,0.45701,0.13945,118.33,0.09362
2019-05-30,9074.26,288.62,0.4735,0.14395,120.35,0.0968
2019-05-31,8594,268.72,0.4408,0.13458,114.93,0.08983
2019-06-01,8626,275.5,0.44169,0.135,116.28,0.0927
2019-06-02,8814.78,273.2,0.44695,0.138,116.48,0.09755
2019-06-03,8800.95,270,0.465,0.14004,116.2,0.09833
2019-06-04,8115.66,251.67,0.41934,0.12765,106.8,0.08832
2019-06-05,7896.7,250.41,0.40597,0.12549,105.21,0.08431
2019-06-06,7868.13,250.66,0.427,0.1256,112.07,0.08385
2019-06-07,8100,253.28,0.43003,0.13017,121,0.08702
2019-06-08,8044.65,250.53,0.42222,0.12829,119.7,0.08622
2019-06-09,7935,244.53,0.41043,0.12475,118.94,0.08385
2019-06-10,8020,247.45,0.40346,0.12378,130.12,0.08529
2019-06-11,8010,247.8,0.40195,0.1235,138.56,0.08913
2019-06-12,8200,261.87,0.402,0.12737,143.19,0.09628
2019-06-13,8309.82,262.98,0.40804,0.1276,136.52,0.0966
2019-06-14,8684.41,264.26,0.40364,0.12488,133.03,0.09095
2019-06-15,8864.99,272.27,0.41213,0.12719,139.5,0.0926
2019-06-16,9333,277.06,0.44098,0.13307,138.2,0.09402
2019-06-17,9444,276,0.46311,0.13199,136.82,0.09365
2019-06-18,9336.36,273.58,0.45499,0.13125,136.84,0.09365
2019-06-19,9304,270,0.43852,0.12627,139.5,0.09158
2019-06-20,9590,273.63,0.43592,0.12413,136.75,0.0903
2019-06-21,10174.99,295.94,0.45,0.12474,141.29,0.0908
2019-06-22,11160,314.39,0.50999,0.13473,145.9,0.0977
2019-06-23,11392.64,321.7,0.49298,0.13361,143.34,0.10379
2019-06-24,11143.63,314.41,0.47585,0.1289,137.52,0.09959
2019-06-25,11850,318.99,0.47654,0.12961,138.63,0.09831
2019-06-26,13970,366.8,0.4968,0.13305,138.5,0.10687
2019-06-27,13478.04,347,0.47176,0.12436,133.5,0.09954
2019-06-28,12480,313.58,0.4272,0.11329,122.19,0.089
2019-06-29,12441.54,324.74,0.43,0.12171,137,0.09095
2019-06-30,12180,323.5,0.42859,0.11545,137.44,0.09077
2019-07-01,11282.28,303.49,0.42298,0.10997,127.03,0.08599
